혈액원,헌혈의집,구분,주소지,Latitude,Longitude,전화번호
서울중앙,중앙센터,원내,서울 강서구 공항대로 591 대한적십자사 서울중앙혈액원 3층,37.548035,126.870758,02-6711-0184
서울중앙,서울역센터,자체,서울 중구 한강대로 405 서울역사 지하1층 B05호,37.5562878,126.9694414,02-752-9020
서울중앙,대화역센터,국고,"경기 고양시 일산서구 중앙로1573, 킨텍스프라자 402호",37.6759503,126.7470045,031-919-4930
서울중앙,신촌센터,국고,서울 서대문구 신촌로 99 엘리트 빌딩 2층,37.5557382,126.9372236,02-312-1247
서울중앙,연신내센터,국고,"서울 은평구 통일로 855-8, 연신내진원와이타운 4층 401호",37.6190571,126.9201953,02-353-7750
서울중앙,홍대센터,국고,"서울 마포구 양화로 152, 대화빌딩 6층",37.5558519,126.9228415,02-323-5420
서울중앙,구로디지털단지역센터,국고,"서울 관악구 시흥대로 576, 2층",37.4840631,126.9030838,02-869-9415
서울중앙,서울대역센터,국고,"서울 관악구 관악로 152, 2층",37.4787493,126.9526056,02-873-4364
서울중앙,신도림테크노마트센터,자체,"서울 구로구 새말로 97, 신도림테크노마트 지하광장",37.5070425,126.8902606,02-861-0801
서울중앙,우장산역센터,자체,"서울 강서구 강서로45길 5, 2층",37.5478233,126.8358363,02-2603-5817
서울중앙,서울대학교센터,자체대학,"서울 관악구 관악로 1, 서울대학교 67동 두레문예관 103-1호",37.4635469,126.9496419,02-886-2479
서울중앙,일산센터,국고,경기 고양시 일산동구 중앙로 1261번길 55 효산캐슬빌딩 204호,37.6575766,126.7708648,031-901-5492
서울중앙,영등포센터,국고,서울 영등포구 영중로 3,37.5167643,126.9061221,02-2675-1361
서울중앙,목동센터,국고,"서울 양천구 목동동로 293, 현대41타워 지하1층 B-02호",37.5281164,126.8758458,02-715-3105
서울중앙,발산역센터,국고,"서울 강서구 강서로 385, 우성SB타워 507호",37.5601106,126.8382926,02-777-1291
서울남부,매봉센터,원내,서울 강남구 개포로31길 48,37.4820286,127.0491017,02-570-0662
서울남부,천호센터,국고,"서울 강동구 천호대로 1033, 8층",37.5378928,127.1269314,02-485-3515
서울남부,강남센터,국고,"서울 서초구 강남대로 437, 7층",37.5013479,127.0254601,02-533-0770
서울남부,건대역센터,국고,"서울 광진구 동일로22길 115, 4층",37.540783,127.0704664,02-498-4185
서울남부,강남역센터,국고,"서울 강남구 강남대로364, 미왕빌딩 2층",37.4955525,127.0292924,02-564-1525
서울남부,강동센터,국고,"서울 강동구 구천면로 424, 명일메가타운 2층(201호,202호)",37.5503165,127.1455692,02-3427-5130
서울남부,이수센터,국고,"서울 동작구 동작대로 109, 경문빌딩 3층",37.4862464,126.981661,02-578-9811
서울남부,잠실역센터,자체,서울 송파구 올림픽로 265 구내광장 7호점,37.5140623,127.1020525,02-2202-7479
서울남부,코엑스센터,국고,"서울 강남구 영동대로 513, 코엑스몰 지하 1층 R07호",37.5118346,127.0597871,02-551-0600
서울남부,노량진역센터,국고,"서울 동작구 노량진로 134, 4층",37.5133541,126.940878,02-533-2022
서울남부,고속터미널역센터,자체,"서울 서초구 신반포로 188, 고속터미널역(9호선) 지하상가 8호",37.5049142,127.0049151,02-825-2916
서울남부,판교센터,국고,경기 성남시 분당구 분당내곡로117 판교 크래프톤타워 2층 203호,37.3941081,127.1119459,031-620-1004
서울남부,하남센터,국고,경기 하남시 신장로 133,37.5382035,127.2035836,031-796-1035
서울동부,중계센터,원내,서울 노원구 동일로 1329,37.6470826,127.0621862,02-2092-9356
서울동부,서울적십자병원센터,국고,서울특별시 종로구 새문안로 9 서울적십자병원 별관 4층,37.5671402,126.9670566,02-934-5340
서울동부,돈암센터,국고,"서울 성북구 동소문로 20다길 17, 광희빌딩 4층",37.5919701,127.0176885,02-925-3566
서울동부,수유센터,국고,"서울 강북구 도봉로 325, 수성타워 4층",37.6372418,127.0244663,02-900-4772
서울동부,회기센터,국고,"서울 동대문구 회기로 188, 두리빌딩 5층",37.589759,127.0568131,02-969-6199
서울동부,의정부센터,국고,"경기 의정부시 행복로13, 5층-6층",37.7401301,127.0486069,031-841-0322
서울동부,구리센터,국고,"경기 구리시 경춘로 239, 리맥스빌딩 7층",37.6016137,127.141625,031-563-5322
서울동부,다산센터,국고,"경기 남양주시 다산중앙로 123번길 21-3, 다산역리더스타워 2층",37.6233968,127.1514528,031-568-9347
서울동부,한양대역센터,자체,"서울 성동구 왕십리로 206, 지하철2호선 한양대역점포 209-4호",37.5536986,127.0391633,02-2296-1076
서울동부,고려대앞센터,자체,"서울 성북구 인촌로24길 11, 2층",37.6562672,127.0721245,02-967-3852
서울동부,대학로센터,국고,서울 종로구 대명길 26 3층,37.5834122,127.000111,02-743-1972
서울동부,광화문센터,국고,서울 종로구 종로 19 르메이에르 5층,37.5704585,126.9798503,02-732-1027
서울동부,의정부2센터,국고,경기 의정부시 시민로 80 센트럴타워 707호,37.7380334,127.0435891,031-871-0310
서울동부,노해로센터,국고,서울 노원구 노해로 480 조광빌딩 2층,37.6541596,127.0614397,02-935-0322
서울동부,망우역센터,국고,서울 중랑구 망우로 353 상봉 프레미어스엠코 C동 302호,37.598081,127.0905951,02-762-1978
부산,전포센터,원내,부산 부산진구 전포대로 168,35.1514842,129.0658837,051-810-9054
부산,남포센터,국고,부산 중구 구덕로 52,35.0984796,129.0301358,051-246-7505
부산,서면센터,국고,부산 부산진구 중앙대로 698,35.1550168,129.059481,051-809-7505
부산,장전센터,국고,부산 금정구 부산대학로 47,35.231133,129.0860965,051-582-4505
부산,동의대센터,자체대학,부산 부산진구 엄광로 176,35.1415069,129.0335365,051-892-2505
부산,하단센터,자체,부산 사하구 낙동대로 550번길 13,35.1133014,128.9648162,051-204-1691
부산,대연센터,국고,부산 남구 용소로 4,35.1367657,129.1000175,051-611-9505
부산,부전센터,자체,부산 부산진구 중앙대로 702번길 50,35.155229,129.0618631,051-804-7505
부산,덕천센터,국고,부산 북구 백양대로 1200,35.2093643,129.0058605,051-335-7505
부산,해운대센터,국고,부산 해운대구 구남로 29번길 38,35.162595,129.162356,051-746-9505
부산,동래센터,자체,부산 동래구 온천천로 165,35.2047092,129.0790764,051-313-7505
부산,사상센터,국고,부산 사상구 사상로 200,35.1629698,128.9845864,051-245-7505
부산,명지센터,국고,부산 강서구 명지국제8로 259 삼성빌딩 4층,35.0982655,128.9212018,051-271-7505
부산,서면로센터,국고,부산 부산진구 서면로 68번길 1,35.1568799,129.0580763,051-805-7505
경기,광교센터,원내,경기 수원시 영통구 월드컵로82번길 20 경기혈액원,37.274833,127.0558828,031-220-8518
경기,평촌센터,자체,경기 안양시 동안구 동안로 130,37.389747,126.9510783,031-387-8842
경기,수원역센터,국고,"경기 수원시 팔달구 덕영대로 923-1, 4층",37.2661701,127.0016737,031-245-6518
경기,안양센터,자체,"경기 안양시 만안구 만안로 223번길 13, 3층",37.4005837,126.9219655,031-449-8309
경기,평택역센터,자체,"경기 평택시 평택로 39번길 36, 2층",36.9909466,127.0866332,031-656-8844
경기,한대앞역센터,자체,경기 안산시 상록구 광덕1로 370 코로스프라자 2층 206호,37.3076091,126.8509735,031-406-5031
경기,야탑센터,국고,"경기 성남시 분당구 야탑로 69번길 21(야탑동), 영진다이비스상가 211호",37.4116217,127.1263444,031-707-3791
경기,서현센터,국고,"경기 성남시 분당구 분당로 53번길 11, 서원빌딩 4층",37.3840671,127.1215341,031-707-3795
경기,산본센터,국고,"경기 군포시 산본로 323번길 16-14, 3층",37.3596745,126.9320366,031-397-7600
경기,용인센터,국고,"경기 용인시 처인구 금령로 64, 201, 202호",37.2345999,127.2036478,031-338-1670
경기,수원시청역센터,국고,경기 수원시 팔달구 권광로 181 씨네파크 2층 204호,37.2637672,127.0322505,031-224-8550
경기,수지센터,국고,경기 용인시 수지구 풍덕천로 133 금오플라자 4층,37.3236678,127.0962454,031-272-6133
